,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(1, 0, 0)",error
0,0.46833947363256995,0.4098580409386284,0.4193731324346219,-0.04935008414359347,2.4832891813621694e-15
1,-0.06980122803988567,0.2413293747405723,-0.5973703848575852,-0.35712262581587556,1.5516494311777719e-15
2,0.4669819092265457,-0.09454415583322892,0.03298606330454863,0.0926635538073077,1.0672404232610325e-15
3,0.019743781423778813,-0.08039258823954967,-0.2117527145420122,-0.0364347149545579,3.553345472214859e-16
4,-0.021198999240269054,0.29718945070822783,0.09802604267517309,-0.5258727311869982,1.5660376965797467e-15
5,-0.1588330600301014,0.16914667605329192,0.12602444184526024,-0.0077233628143381075,2.6621253702903005e-16
6,0.08575848272493439,-0.15357423998200778,0.3056865546130963,0.36626728084544025,1.0167565648779932e-15
7,-0.6507291378783708,0.1317659601649191,-0.23532733385000468,0.11677865338069784,8.286068210244039e-16
8,0.1500660787920249,0.2246966190701724,0.15133561280179997,0.10076570795547632,2.3806579044406873e-15
9,-0.19383889475267252,0.033573309090172414,-0.20940512979678838,-0.4799884676611559,2.9298160023220995e-15
10,-0.38953350169644874,-0.13820671765376252,-0.33175447515962075,-0.18060272214488637,2.177055431515643e-15
11,-0.045049657385117584,0.2500334215155577,0.020390967410909757,-0.1911232777229782,8.402357772552805e-16
12,-0.6923358172716882,0.3233589047183481,-0.00811007793221992,-0.09106007709288545,1.3873400850062996e-15
13,0.37500489736113696,-0.030395652565089106,-0.32725054561149325,-0.13141084550563883,7.240570223197771e-16
14,-0.3677564164002209,0.17849495093064688,-0.3184065768203783,0.193357936531774,1.422901542195072e-15
15,-0.4176792048374954,0.17030345513944942,0.11057676239604206,-0.22906520809310824,6.648243191098638e-16
16,-0.10439313658282125,-0.07343128385781986,-0.03885763638662698,-0.1330432158196899,3.150141287307782e-16
17,0.08725912071138021,0.15718379815720226,0.045043126452726345,0.0920942704624187,3.946711169252649e-16
18,-0.28613673491174596,0.3926654833107027,0.12725154212759243,-0.21499028077567892,2.4820251698791437e-15
19,0.3452118787192749,0.1429665639813676,0.3517055299143416,-0.025215646038034167,5.457452644384112e-16
20,-0.25836232668170034,-0.0506750947751211,-0.08751408988462986,0.11800914073046631,2.9492839101791045e-16
21,-0.17727314533151628,-0.09375147487610037,-0.4606558605550415,-0.11790241096228586,9.620992443742392e-16
22,0.026085314315253058,0.597462043923466,0.4325423078026738,-0.2022326077051316,2.5767264496430115e-15
23,0.1272001910314922,0.0660203045555991,-0.1521897837115156,-0.175300329027234,6.805138541469039e-16
24,0.02438506261087409,-0.12717874027169784,0.22350478398865753,0.0477470127067349,4.932418197764851e-16
