,Unnamed: 0,acc,bool_hebbian,phi,theta
174,,0.1046,1,5,0.001
175,,0.1189,1,5,0.001
176,,0.2408,1,5,0.001
177,,0.2215,1,5,0.001
178,,0.1086,1,5,0.001
179,,0.098,1,5,0.001
180,,0.1146,1,5,0.001
181,,0.1599,1,5,0.001
182,,0.0952,1,5,0.001
183,,0.098,1,5,0.001
184,,0.1749,1,5,0.001
185,,0.2512,1,5,0.001
186,,0.2945,1,5,0.001
187,,0.1404,1,5,0.001
188,,0.1223,1,5,0.001
189,,0.2773,1,5,0.001
190,,0.1309,1,5,0.001
191,,0.2487,1,5,0.001
192,,0.326,1,5,0.001
193,,0.1531,1,5,0.001
194,,0.1558,1,5,0.001
195,,0.0908,1,5,0.001
196,,0.1274,1,5,0.001
197,,0.0888,1,5,0.001
198,,0.2022,1,5,0.001
199,,0.1719,1,5,0.001
200,,0.3827,0,5,0.002
201,,0.1465,0,5,0.002
202,,0.1898,0,5,0.002
203,,0.2506,0,5,0.002
204,,0.1724,0,5,0.002
205,,0.282,0,5,0.002
206,,0.2582,0,5,0.002
207,,0.127,0,5,0.002
208,,0.1512,0,5,0.002
209,,0.1788,0,5,0.002
210,,0.1006,0,5,0.002
211,,0.2641,0,5,0.002
212,,0.1394,0,5,0.002
213,,0.1835,0,5,0.002
214,,0.2138,0,5,0.002
215,,0.1229,0,5,0.002
216,,0.3735,0,5,0.002
217,,0.2986,0,5,0.002
218,,0.1645,0,5,0.002
219,,0.0984,0,5,0.002
220,,0.1004,0,5,0.002
221,,0.2924,0,5,0.002
222,,0.1394,0,5,0.002
223,,0.1004,0,5,0.002
224,,0.1706,0,5,0.002
225,,0.3881,0,5,0.002
226,,0.0981,0,5,0.002
227,,0.1244,0,5,0.002
228,,0.168,0,5,0.002
229,,0.1426,0,5,0.002
230,,0.0982,0,5,0.002
231,,0.1362,0,5,0.002
232,,0.1097,0,5,0.002
233,,0.3516,0,5,0.002
234,,0.2028,0,5,0.002
235,,0.1644,0,5,0.002
236,,0.1216,0,5,0.002
237,,0.1312,0,5,0.002
238,,0.1635,0,5,0.002
239,,0.5102,0,5,0.002
240,,0.0918,0,5,0.002
241,,0.1317,0,5,0.002
242,,0.1136,0,5,0.002
243,,0.1883,0,5,0.002
244,,0.2005,0,5,0.002
245,,0.2476,0,5,0.002
246,,0.1009,0,5,0.002
247,,0.1349,0,5,0.002
248,,0.309,0,5,0.002
249,,0.1948,0,5,0.002
250,,0.1858,0,5,0.002
251,,0.1197,0,5,0.002
252,,0.101,0,5,0.002
253,,0.1868,0,5,0.002
254,,0.1631,0,5,0.002
255,,0.2284,0,5,0.002
256,,0.1433,0,5,0.002
257,,0.1179,0,5,0.002
