,Unnamed: 0,v_i,w_ij,v_j,grad,mean_Hebbian_update
0,0,0.0,-0.033835940062999725,0.0,0.0,-0.02142397290570479
1,1,0.0,0.028578171506524086,0.47032430768013,0.0,0.8046189195969525
2,2,0.0,-0.00023718994634691626,0.2921409010887146,0.0,0.45859390287203533
3,3,0.0,-0.004192981403321028,0.15158692002296448,-0.0006954589043743907,0.2211091063514936
4,4,0.0,0.010636166669428349,0.5939961075782776,-0.000301188527373597,1.0461619122355592
5,5,0.0,0.0016735171666368842,0.0,0.00029322830960154533,-0.008040498636261212
6,6,0.501960813999176,0.007985034026205541,0.04043199121952057,6.975295400479808e-05,-0.18732161299489877
7,7,0.0,-0.012833389453589916,0.0,0.0,-0.013565038572814242
8,8,0.0,-0.01762969419360161,0.008200667798519135,-0.0002200297312811017,-0.003590761432789412
9,9,0.0,-0.03243642672896385,0.0,-0.0003730572643689811,-0.020904859619251655
10,0,0.23870213329792025,0.051029849797487266,0.0,-0.0002427469444228336,-0.0978247821239718
11,1,0.23317617177963254,-0.036133065819740295,0.0,2.4563074475736357e-05,-0.13077831463705675
12,2,0.0747179463505745,0.030219728127121925,0.0,-0.00020153011428192255,-0.02920791225544378
13,3,0.16944266855716705,0.018844874575734142,0.07760340720415115,0.0005834728945046662,0.04267690420223802
14,4,0.0003706030547618866,0.04615066200494766,0.1277519464492798,0.0008496824302710593,0.20450126726691628
15,5,0.10800284892320633,0.02460614778101444,0.1431049108505249,4.638428436010145e-05,0.17752028462093541
16,6,0.0007726672338321805,0.02697580866515636,0.0,-0.0003145021037198603,0.0014108253834659561
17,7,0.18531210720539093,0.019213968887925148,0.0,-0.0005528242909349501,-0.0853727861791484
18,8,0.489175945520401,-0.01845412701368332,0.0,0.00023815789609216156,-0.2596440927088991
19,9,0.12737484276294708,0.027224192395806316,0.0,5.437942096619963e-09,-0.054611036722895266
20,0,0.3017154932022095,0.11770588904619216,0.0954325869679451,-0.00818984117358923,0.058419377273679074
21,1,0.00016664944996591655,-0.11053869873285294,0.0,5.285264670362722e-09,-0.0494149850188371
22,2,0.07857724279165268,0.07541652023792267,0.0,2.0012542734093582e-08,-0.012604580342988758
23,3,0.034556955099105835,0.03500877693295479,0.0,2.4467539333272725e-05,-0.00975584207723538
24,4,0.08512423932552338,-0.14081507921218872,0.017806358635425568,0.0015170216793194413,-0.07259508758308549
25,5,0.0001666334574110806,0.10554665327072144,0.02776737511157989,0.0007964145042933524,0.07493397361580648
26,6,0.00022035674192011362,0.04115099459886551,0.2427467256784439,0.0007888705586083232,0.39192041477151945
27,7,0.00026593057555146515,0.01025348249822855,0.11525990813970564,0.00022040524345356968,0.1692862313916432
28,8,0.08828884363174437,0.0962759256362915,0.04219236224889755,0.002266622614115477,0.05622813925512281
29,9,0.00019508127297740432,0.152347132563591,0.06739476323127748,-0.0014264803612604735,0.15658747477858675
30,0,0.4117647111415863,0.023562340065836903,0.2364787459373474,-8.506637823302299e-05,0.21803327116603946
31,1,0.0,-0.028516519814729687,0.25652870535850525,0.0,0.38477519432119295
32,2,0.0,-0.017477435991168022,0.14629706740379333,0.0,0.20702258665479867
33,3,0.0,0.006520905997604132,0.0,0.0,-0.006190251376406819
34,4,0.0,-0.031019838526844982,0.08523323386907578,-0.0005749219562858343,0.10586235778150606
35,5,0.0,-0.006314062513411045,0.5569706559181213,0.0,0.9599894098207062
36,6,0.0,0.01115028653293848,0.1980065256357193,-0.0007304525934159756,0.3034941627114427
37,7,0.0,0.0091609051451087,0.2605287134647369,0.0,0.40815508148322505
38,8,0.0,0.0016110053984448314,0.29468005895614624,0.0,0.4638523706143685
39,9,0.0,-0.02150416374206543,0.4520462155342102,0.0,0.7427763341396463
40,0,0.15757399797439575,-0.026088764891028404,0.2918176352977753,-0.00032133993227034807,0.3937636709899879
41,1,0.09693200141191484,0.06502687186002731,0.0,0.00035403762012720113,-0.025194280799113067
42,2,0.2765093743801117,0.017137378454208374,0.0,0.002658900571987033,-0.13068223114618482
43,3,0.0005158247658982873,-0.061810772866010666,0.0,-0.0006669545546174048,-0.03193557095330428
44,4,0.11493398249149325,-0.010602687485516071,0.0,-5.775958129561332e-07,-0.06371492798001889
45,5,0.3040454983711243,-0.005518042016774416,0.0,-0.0007207691087387503,-0.1538349670339741
46,6,0.0006644650711677969,0.016039464622735974,0.0,0.0005210034432820977,-0.002820878307901177
47,7,0.22314107418060306,0.02203555032610893,0.02008615992963314,0.001126830349676311,-0.07143666039166205
48,8,0.19798892736434934,-0.009421242401003838,0.0,0.0018974745180457828,-0.10301887855737232
49,9,0.2567138075828552,-0.06792340427637099,0.162886381149292,-0.0009465339244343339,0.10815014156019863
50,0,0.2410073280334473,-0.015415845438838003,0.0,2.4741904525171776e-08,-0.12648752843048058
51,1,0.11329946666955948,0.004915336612612009,0.1372745931148529,0.00020105340809095648,0.15718815135130404
52,2,0.004809570964425802,-0.09955975413322447,0.0,-6.155996601364676e-09,-0.04752777102312036
53,3,0.22460541129112244,-0.0732964277267456,0.023795153945684436,-0.008456066250801086,-0.10490900225133873
54,4,0.0002747934777289629,-0.01664138026535511,0.0,6.4032112945255895e-09,-0.015132269835756981
55,5,0.00015145586803555489,-0.07870020717382431,0.11960495263338088,-1.033121634463896e-06,0.1401831509691535
56,6,0.00011913197522517295,-0.12260956317186356,0.0,0.0013849352253600955,-0.05365454408285372
57,7,0.09883970767259598,0.05071854218840599,0.15377888083457947,-0.003788842586800456,0.210401623156013
58,8,0.11569623649120332,-0.13605494797229767,0.18076364696025848,0.007112611085176469,0.1693157347320926
59,9,0.19108641147613525,-0.08744175732135773,0.0,0.0013339383294805884,-0.12951978482306004
60,0,0.0,-0.005197417922317982,0.04719335213303566,0.0003506905923131853,0.05848676987065404
61,1,0.0,0.021491598337888718,0.0,0.0,-0.0004196466202391129
62,2,0.9882352948188782,0.02727731131017208,0.2582858204841614,-0.002767261117696762,0.016806673048538903
63,3,0.0,-0.01416180748492479,0.00039031356573104864,-0.000149796818732284,-0.013511804028359406
64,4,0.0,0.03531564399600029,0.24552448093891144,0.0,0.3941072269762848
65,5,0.9960784316062928,-0.024550046771764755,0.08377294987440109,0.0020896403584629297,-0.3774147153485055
66,6,0.0,0.022774389013648037,0.20828725397586825,-4.194757275399752e-05,0.3256559912297948
67,7,0.0,0.026604978367686268,0.2393410801887512,0.0004956445773132144,0.3796489828576644
68,8,0.0,-0.029934564605355263,0.6361550688743591,0.0,1.112173760346338
69,9,0.0,-0.02853537909686565,0.07436002790927887,-0.0006567612872458994,0.09016227490478652
70,0,0.1954895555973053,0.02560783363878727,0.17916612327098844,-0.0019257566891610625,0.20370087509646134
71,1,0.0005994855891913176,-0.026212550699710846,0.0,-0.00013368288637138903,-0.018850908377299122
72,2,0.00034077232703566546,-0.06373827904462814,0.010556410998106005,-0.0009482122259214519,-0.017455512388408475
73,3,0.00036304467357695097,-0.07024227827787399,0.08524337410926819,0.00022736868413630873,0.09044530114396383
74,4,0.00034116499591618776,0.07150842249393463,0.2729456424713135,0.00020912614127155396,0.45846884668457744
75,5,0.3971420526504517,-0.023905768990516663,0.0,-0.00041327712824568147,-0.21068327201932086
76,6,0.21392390131950376,-0.058478645980358124,0.0,-0.0002456688671372831,-0.12994165877428124
77,7,0.3245202302932739,-0.059669218957424164,0.1650795042514801,-7.305500912480056e-05,0.08610232472967576
78,8,0.07256581634283066,-0.01842470094561577,0.05534067004919052,0.00010106743138749151,0.034673443557146716
79,9,0.2613140344619751,-0.05553184449672699,0.0,3.973428697179315e-09,-0.1522399929224276
80,0,0.00012347647862043232,0.008115591481328009,0.1593456119298935,-2.3925844288896773e-05,0.23890534163836172
81,1,0.00019236659863963723,0.1195506900548935,0.11848322302103045,0.00011124659067718313,0.22227115135219896
82,2,0.00015267521666828546,0.12919722497463226,0.04530471563339234,0.0008204609621316196,0.11204835624598405
83,3,0.00012778936070390046,0.14634546637535095,0.03305910527706146,-2.0506795408437033e-06,0.10093436744429317
84,4,0.21064531803131106,-0.07820827513933183,0.0916861891746521,0.0019809245131909847,0.005976486074573854
85,5,9.960398892872036e-05,0.0984533503651619,0.0,-2.5760003505292947e-11,0.03050612004510328
