,Degree 2,Degree 3,Degree 4,Degree 5,Degree 6,Degree 7,Degree 8,Degree 9
0,-0.002522580071885497,-0.002751376627025577,0.0004562696004915962,0.012793163857767756,0.047176260233521734,0.03919700872821397,-0.05590254075515922,-0.2510126730311879
1,-0.013189811612287048,-0.03793060165102605,-0.07107499896167987,-0.1124576848521547,-0.1724804358230143,-0.2714347790857762,-0.4740442698229624,-0.7470608161910508
2,-0.001397712302020921,-0.010271048987752432,-0.02587552815850541,-0.03754532387053738,-0.03491784081386254,-0.03037560807858314,-0.1549649702031199,-0.40640031108088737
3,-0.006828799174566175,-0.013866203562291242,-0.02219283599923952,-0.0270690995096613,-0.016700414757526136,-0.031483374341623405,-0.10691522909221053,-0.2702016172537749
4,-0.003741486284876425,-0.020234544039046044,-0.05471839351119793,-0.10497880670417213,-0.16980997181978516,-0.2540272746696999,-0.39152582363342747,-0.5572357013659631
5,-0.008536026842207094,-0.01599938808511615,-0.02820841706000607,-0.02965552432389298,0.005441480846637585,-0.0274949121468121,-0.04460152024040731,-0.14036613749082028
6,-0.0018646421013488613,-0.013899555560708612,-0.034651115055124616,-0.039937513448146784,-0.021607639039797344,0.01142007036692394,-0.017975049060922732,-0.09557073635612112
7,-0.01856550800658266,-0.046324272915572035,-0.08697847749600446,-0.1204852597821474,-0.10671655978174477,-0.10080583444622793,-0.1524042143862846,-0.3696036140764265
8,-0.011149222023457762,-0.028966054268245344,-0.048375033059898334,-0.05397945659676712,-0.03673726403290817,-0.04330170624604779,-0.06513469088993408,-0.15610295468110091
9,-0.013066220003485932,-0.028038124836676698,-0.04298553158117069,-0.05511304938491636,-0.031617651805382146,-0.014788058107206625,-0.13326482496625006,-0.4376392851713813
10,-0.008220523092999895,-0.01525144883764501,-0.005397889349237933,0.031773724917916364,0.11377135076265425,0.17936948163789854,0.14159112426998305,-0.09252048614629726
11,-0.0025290651156416578,-0.007798592448300806,-0.010727668591726913,-0.00813041667738041,0.025573655059254977,0.05974736960841226,-0.08546763772247301,-0.4509871927734318
12,-0.01683001969581244,-0.03058802293727737,-0.03789971271184711,-0.027272066530283638,0.02383329978085069,-0.048200781658365166,-0.38874013996074974,-1.0198909890515804
13,-0.004457053593751453,-0.0175900541147257,-0.03817602039709679,-0.052452999631012034,-0.03638947670748144,0.00936801275477772,0.04854364585411275,0.022963016590778814
14,0.0015258106833874307,0.020683656152752472,0.0611376040562644,0.1440819402027088,0.2969600184615434,0.4451333190923492,0.5259696322882568,0.4694266640954004
15,0.0048480818206424825,0.020397508593996718,0.04863948967130016,0.09142621115474923,0.16262928586471453,0.2258227844619717,0.2278611102012271,0.10185454028235874
16,-0.000718017243812416,0.00548746632349512,0.022758406534379244,0.07069230314433635,0.1727707282383074,0.252084216911196,0.19074180886597414,-0.1724872152915986
17,-0.016457459640692083,-0.043415874436297616,-0.07765650646994512,-0.10475742446192482,-0.09807450018155817,-0.07352406402413952,-0.039163117002679486,-0.053733757255656656
18,-0.02184764216735993,-0.055755447097960965,-0.0931624607783644,-0.1211196024546414,-0.10170388854112958,-0.05232053686086585,-0.06495244953598561,-0.12735253173683492
19,-0.022354745664656797,-0.0691754674096342,-0.1445080778823712,-0.23864414741326864,-0.3426858043927907,-0.4575383460787923,-0.6531674377911507,-0.9277065272440514
20,-0.011329009195894716,-0.026319554430482915,-0.045594582940936906,-0.046422414366517686,0.0002992684780790608,0.07152456241241267,0.18845594437434965,0.21547379599305996
21,0.0021578705956763564,0.012391795336470269,0.03673749520409228,0.08550586722004724,0.17971501170643875,0.21365568241755256,0.06279675236427518,-0.3580719117002449
22,0.0014674345448239447,0.001409631952146828,0.006032329397116898,0.047115181319347964,0.16411828236442105,0.34472791222613103,0.4617898232766571,0.4172317673467294
23,-0.03321447463020349,-0.08021221768477446,-0.12900586042853518,-0.15217354239936448,-0.10201240349483437,-0.10441911523686664,-0.1326702405223999,-0.3030948616756968
24,0.004443991271214771,0.017296186028430385,0.04152006623145815,0.08454784797015674,0.13626732534925334,0.16296792024820606,0.08295589548039839,-0.031728656700739544
25,0.0009014832849747882,0.009348215349364487,0.02810043530430839,0.06100389559329882,0.13139371332482996,0.16328761118960322,0.04803342206282801,-0.2188179406165338
26,-0.02905236442241297,-0.07577130792629375,-0.1368971680488474,-0.18871437004991004,-0.19054505276653794,-0.1826333791413832,-0.1277900679191466,-0.1475503318316964
