,degree,error
0,0,15.492744709511332
1,1,0.08516609581038083
2,2,0.04522294463019352
3,3,0.02598191264252735
4,4,0.012774750888366628
5,5,0.006051226874583997
6,6,0.0027057620725849615
7,7,0.0013024240590058214
8,8,0.0006018798379061308
9,9,0.0028656116128002278
