,acc,bool_hebbian,phi,theta
173,0.4232,1,0.09,1
174,0.6082,1,0.09,1
175,0.4516,1,0.09,1
176,0.5052,1,0.09,1
177,0.6679,1,0.09,1
178,0.4693,1,0.09,1
179,0.5759,1,0.09,1
180,0.7182,0,0.09999999999999999,1
181,0.7231,0,0.09999999999999999,1
182,0.5574,0,0.09999999999999999,1
183,0.654,0,0.09999999999999999,1
184,0.098,0,0.09999999999999999,1
185,0.6287,0,0.09999999999999999,1
186,0.7029,0,0.09999999999999999,1
187,0.6172,0,0.09999999999999999,1
188,0.611,0,0.09999999999999999,1
189,0.5641,0,0.09999999999999999,1
190,0.5257,1,0.09999999999999999,1
191,0.4602,1,0.09999999999999999,1
192,0.5133,1,0.09999999999999999,1
193,0.6098,1,0.09999999999999999,1
194,0.5799,1,0.09999999999999999,1
195,0.5029,1,0.09999999999999999,1
196,0.5532,1,0.09999999999999999,1
197,0.602,1,0.09999999999999999,1
198,0.6669,1,0.09999999999999999,1
199,0.5388,1,0.09999999999999999,1
200,0.6465,0,0.1,1
201,0.6827,0,0.1,1
202,0.627,0,0.1,1
203,0.8123,0,0.1,1
204,0.7201,0,0.1,1
205,0.8854,0,0.1,1
206,0.6469,0,0.1,1
207,0.5592,0,0.1,1
208,0.6363,0,0.1,1
209,0.6873,0,0.1,1
210,0.5275,1,0.1,1
211,0.7071,1,0.1,1
212,0.6051,1,0.1,1
213,0.4831,1,0.1,1
214,0.5548,1,0.1,1
215,0.446,1,0.1,1
216,0.3632,1,0.1,1
217,0.491,1,0.1,1
218,0.6309,1,0.1,1
219,0.4695,1,0.1,1
220,0.7394,0,0.15000000000000002,1
221,0.7873,0,0.15000000000000002,1
222,0.6374,0,0.15000000000000002,1
223,0.7513,0,0.15000000000000002,1
224,0.7349,0,0.15000000000000002,1
225,0.5243,0,0.15000000000000002,1
226,0.8215,0,0.15000000000000002,1
227,0.3791,0,0.15000000000000002,1
228,0.8592,0,0.15000000000000002,1
229,0.8368,0,0.15000000000000002,1
230,0.5239,1,0.15000000000000002,1
231,0.6892,1,0.15000000000000002,1
232,0.5472,1,0.15000000000000002,1
233,0.5599,1,0.15000000000000002,1
234,0.5986,1,0.15000000000000002,1
235,0.6442,1,0.15000000000000002,1
236,0.4554,1,0.15000000000000002,1
237,0.8121,1,0.15000000000000002,1
238,0.579,1,0.15000000000000002,1
239,0.5519,1,0.15000000000000002,1
240,0.7147,0,0.20000000000000004,1
241,0.6019,0,0.20000000000000004,1
242,0.5965,0,0.20000000000000004,1
243,0.8185,0,0.20000000000000004,1
244,0.6302,0,0.20000000000000004,1
245,0.6489,0,0.20000000000000004,1
246,0.8179,0,0.20000000000000004,1
247,0.5457,0,0.20000000000000004,1
248,0.7644,0,0.20000000000000004,1
249,0.6239,0,0.20000000000000004,1
250,0.6945,1,0.20000000000000004,1
251,0.7486,1,0.20000000000000004,1
252,0.8105,1,0.20000000000000004,1
253,0.8344,1,0.20000000000000004,1
254,0.5203,1,0.20000000000000004,1
255,0.331,1,0.20000000000000004,1
256,0.6023,1,0.20000000000000004,1
257,0.644,1,0.20000000000000004,1
258,0.6537,1,0.20000000000000004,1
259,0.6191,1,0.20000000000000004,1
260,0.4808,0,0.25000000000000006,1
261,0.6496,0,0.25000000000000006,1
262,0.6403,0,0.25000000000000006,1
263,0.647,0,0.25000000000000006,1
264,0.7174,0,0.25000000000000006,1
265,0.6574,0,0.25000000000000006,1
266,0.5769,0,0.25000000000000006,1
267,0.8405,0,0.25000000000000006,1
268,0.7458,0,0.25000000000000006,1
269,0.7277,0,0.25000000000000006,1
270,0.7215,1,0.25000000000000006,1
271,0.662,1,0.25000000000000006,1
272,0.8839,1,0.25000000000000006,1
273,0.8425,1,0.25000000000000006,1
274,0.8184,1,0.25000000000000006,1
275,0.646,1,0.25000000000000006,1
276,0.6894,1,0.25000000000000006,1
277,0.6258,1,0.25000000000000006,1
278,0.5255,1,0.25000000000000006,1
279,0.4688,1,0.25000000000000006,1
280,0.754,0,0.30000000000000004,1
281,0.7239,0,0.30000000000000004,1
282,0.4705,0,0.30000000000000004,1
283,0.6328,0,0.30000000000000004,1
284,0.8311,0,0.30000000000000004,1
285,0.7378,0,0.30000000000000004,1
286,0.7296,0,0.30000000000000004,1
287,0.4822,0,0.30000000000000004,1
288,0.4808,0,0.30000000000000004,1
289,0.7088,0,0.30000000000000004,1
290,0.6722,1,0.30000000000000004,1
