,Unnamed: 0,Unnamed: 0.1,acc,bool_hebbian,phi,theta
163,,,0.2513,1,5,0.001
164,,,0.1483,1,5,0.001
165,,,0.101,1,5,0.001
166,,,0.2217,1,5,0.001
167,,,0.0958,1,5,0.001
168,,,0.0972,1,5,0.001
169,,,0.2085,1,5,0.001
170,,,0.1715,1,5,0.001
171,,,0.1032,1,5,0.001
172,,,0.0711,1,5,0.001
173,,,0.1042,1,5,0.001
174,,,0.0671,1,5,0.001
175,,,0.1463,1,5,0.001
176,,,0.1082,1,5,0.001
177,,,0.1471,1,5,0.001
178,,,0.17,1,5,0.001
179,,,0.118,1,5,0.001
180,,,0.1858,0,5,0.002
181,,,0.1631,0,5,0.002
182,,,0.0926,0,5,0.002
183,,,0.2754,0,5,0.002
184,,,0.1494,0,5,0.002
185,,,0.1117,0,5,0.002
186,,,0.0733,0,5,0.002
187,,,0.2806,0,5,0.002
188,,,0.2423,0,5,0.002
189,,,0.2099,0,5,0.002
190,,,0.241,0,5,0.002
191,,,0.1597,0,5,0.002
192,,,0.1723,0,5,0.002
193,,,0.2093,0,5,0.002
194,,,0.3407,0,5,0.002
195,,,0.2665,0,5,0.002
196,,,0.1902,0,5,0.002
197,,,0.1013,0,5,0.002
198,,,0.2312,0,5,0.002
199,,,0.1112,0,5,0.002
200,,,0.1121,0,5,0.002
201,,,0.2847,0,5,0.002
202,,,0.1001,0,5,0.002
203,,,0.0892,0,5,0.002
204,,,0.2523,0,5,0.002
205,,,0.2412,0,5,0.002
206,,,0.1831,0,5,0.002
207,,,0.1307,0,5,0.002
208,,,0.1135,0,5,0.002
209,,,0.1035,0,5,0.002
210,,,0.1686,0,5,0.002
211,,,0.1385,0,5,0.002
212,,,0.2509,0,5,0.002
213,,,0.2061,0,5,0.002
214,,,0.2205,0,5,0.002
215,,,0.1688,0,5,0.002
216,,,0.213,0,5,0.002
217,,,0.1773,0,5,0.002
218,,,0.1954,0,5,0.002
219,,,0.1239,0,5,0.002
220,,,0.1849,0,5,0.002
221,,,0.2744,0,5,0.002
222,,,0.2287,0,5,0.002
223,,,0.1946,0,5,0.002
224,,,0.1822,0,5,0.002
225,,,0.344,0,5,0.002
226,,,0.0883,0,5,0.002
227,,,0.1961,0,5,0.002
228,,,0.3907,0,5,0.002
229,,,0.2532,0,5,0.002
230,,,0.0882,0,5,0.002
231,,,0.2784,0,5,0.002
232,,,0.3402,0,5,0.002
233,,,0.1848,0,5,0.002
234,,,0.2511,0,5,0.002
235,,,0.2048,0,5,0.002
236,,,0.1368,0,5,0.002
237,,,0.183,0,5,0.002
238,,,0.2327,0,5,0.002
239,,,0.1948,0,5,0.002
240,,,0.2133,0,5,0.002
241,,,0.1032,0,5,0.002
242,,,0.2421,0,5,0.002
243,,,0.173,0,5,0.002
244,,,0.1155,0,5,0.002
245,,,0.1602,0,5,0.002
246,,,0.094,0,5,0.002
247,,,0.1262,0,5,0.002
248,,,0.173,0,5,0.002
249,,,0.1008,0,5,0.002
250,,,0.1317,0,5,0.002
251,,,0.276,0,5,0.002
252,,,0.2684,0,5,0.002
253,,,0.257,0,5,0.002
254,,,0.1464,0,5,0.002
255,,,0.2166,0,5,0.002
256,,,0.0935,0,5,0.002
257,,,0.2018,0,5,0.002
258,,,0.101,0,5,0.002
259,,,0.1888,0,5,0.002
260,,,0.2212,0,5,0.002
261,,,0.2383,0,5,0.002
262,,,0.2668,0,5,0.002
263,,,0.0872,0,5,0.002
264,,,0.425,0,5,0.002
265,,,0.0958,0,5,0.002
266,,,0.2096,0,5,0.002
267,,,0.1299,0,5,0.002
268,,,0.145,0,5,0.002
269,,,0.1011,0,5,0.002
270,,,0.2771,1,5,0.002
271,,,0.3797,1,5,0.002
272,,,0.2133,1,5,0.002
273,,,0.2848,1,5,0.002
