,acc,bool_hebbian,phi,theta
280,0.7675,0,1.0000000000000004,1
281,0.8423,0,1.0000000000000004,1
282,0.8416,0,1.0000000000000004,1
283,0.5844,0,1.0000000000000004,1
284,0.7752,0,1.0000000000000004,1
285,0.6043,1,1.0000000000000004,1
286,0.9523,1,1.0000000000000004,1
287,0.7724,1,1.0000000000000004,1
288,0.8237,1,1.0000000000000004,1
289,0.9513,1,1.0000000000000004,1
290,0.4045,0,1.0,1
291,0.7569,0,1.0,1
292,0.4617,0,1.0,1
293,0.4854,0,1.0,1
294,0.7784,0,1.0,1
295,0.6236,1,1.0,1
296,0.7806,1,1.0,1
297,0.5874,1,1.0,1
298,0.6679,1,1.0,1
299,0.6256,1,1.0,1
300,0.8549,0,1.2,1
301,0.6547,0,1.2,1
302,0.6663,0,1.2,1
303,0.682,0,1.2,1
304,0.6613,0,1.2,1
305,0.7147,1,1.2,1
306,0.8285,1,1.2,1
307,0.8786,1,1.2,1
308,0.7918,1,1.2,1
309,0.8719,1,1.2,1
310,0.9523,0,1.4,1
311,0.9478,0,1.4,1
312,0.84,0,1.4,1
313,0.8255,0,1.4,1
314,0.9563,0,1.4,1
315,0.6626,1,1.4,1
316,0.7007,1,1.4,1
317,0.7595,1,1.4,1
318,0.8574,1,1.4,1
319,0.5806,1,1.4,1
320,0.6596,0,1.5999999999999999,1
321,0.2909,0,1.5999999999999999,1
322,0.7592,0,1.5999999999999999,1
323,0.6783,0,1.5999999999999999,1
324,0.7673,0,1.5999999999999999,1
325,0.8113,1,1.5999999999999999,1
326,0.7338,1,1.5999999999999999,1
327,0.8738,1,1.5999999999999999,1
328,0.6838,1,1.5999999999999999,1
329,0.6365,1,1.5999999999999999,1
330,0.8675,0,1.7999999999999998,1
331,0.782,0,1.7999999999999998,1
332,0.952,0,1.7999999999999998,1
333,0.7636,0,1.7999999999999998,1
334,0.7621,0,1.7999999999999998,1
335,0.8001,1,1.7999999999999998,1
336,0.8098,1,1.7999999999999998,1
337,0.8609,1,1.7999999999999998,1
338,0.8069,1,1.7999999999999998,1
339,0.9517,1,1.7999999999999998,1
340,0.8695,0,1.9999999999999998,1
341,0.2919,0,1.9999999999999998,1
342,0.6594,0,1.9999999999999998,1
343,0.5814,0,1.9999999999999998,1
344,0.9475,0,1.9999999999999998,1
345,0.7571,1,1.9999999999999998,1
346,0.6177,1,1.9999999999999998,1
347,0.7782,1,1.9999999999999998,1
348,0.8953,1,1.9999999999999998,1
349,0.782,1,1.9999999999999998,1
350,0.6663,0,2.1999999999999997,1
351,0.8656,0,2.1999999999999997,1
352,0.5566,0,2.1999999999999997,1
353,0.6707,0,2.1999999999999997,1
354,0.6737,0,2.1999999999999997,1
355,0.6682,1,2.1999999999999997,1
356,0.8969,1,2.1999999999999997,1
357,0.8643,1,2.1999999999999997,1
358,0.681,1,2.1999999999999997,1
359,0.7744,1,2.1999999999999997,1
360,0.953,0,2.3999999999999995,1
361,0.8642,0,2.3999999999999995,1
362,0.8722,0,2.3999999999999995,1
363,0.7658,0,2.3999999999999995,1
364,0.8606,0,2.3999999999999995,1
365,0.804,1,2.3999999999999995,1
366,0.8483,1,2.3999999999999995,1
367,0.8768,1,2.3999999999999995,1
368,0.7957,1,2.3999999999999995,1
369,0.8,1,2.3999999999999995,1
370,0.9512,0,2.5999999999999996,1
371,0.3709,0,2.5999999999999996,1
372,0.4711,0,2.5999999999999996,1
373,0.7735,0,2.5999999999999996,1
374,0.7463,0,2.5999999999999996,1
375,0.6635,1,2.5999999999999996,1
376,0.9531,1,2.5999999999999996,1
377,0.6656,1,2.5999999999999996,1
378,0.8281,1,2.5999999999999996,1
379,0.8227,1,2.5999999999999996,1
380,0.7669,0,2.8,1
381,0.7812,0,2.8,1
382,0.6892,0,2.8,1
383,0.7615,0,2.8,1
384,0.8618,0,2.8,1
385,0.6947,1,2.8,1
386,0.8107,1,2.8,1
387,0.5567,1,2.8,1
388,0.8201,1,2.8,1
389,0.6703,1,2.8,1
390,0.6912,0,2.9999999999999996,1
391,0.9513,0,2.9999999999999996,1
392,0.8705,0,2.9999999999999996,1
393,0.8677,0,2.9999999999999996,1
394,0.5803,0,2.9999999999999996,1
395,0.7083,1,2.9999999999999996,1
396,0.7493,1,2.9999999999999996,1
397,0.8724,1,2.9999999999999996,1
398,0.5803,1,2.9999999999999996,1
399,0.6772,1,2.9999999999999996,1
400,0.8601,0,3.1999999999999993,1
401,0.765,0,3.1999999999999993,1
402,0.5681,0,3.1999999999999993,1
403,0.7833,0,3.1999999999999993,1
404,0.8483,0,3.1999999999999993,1
405,0.8769,1,3.1999999999999993,1
406,0.8118,1,3.1999999999999993,1
407,0.6155,1,3.1999999999999993,1
408,0.9548,1,3.1999999999999993,1
409,0.7955,1,3.1999999999999993,1
410,0.7425,0,3.3999999999999995,1
411,0.5631,0,3.3999999999999995,1
412,0.8634,0,3.3999999999999995,1
413,0.6798,0,3.3999999999999995,1
414,0.7651,0,3.3999999999999995,1
415,0.6893,1,3.3999999999999995,1
416,0.9516,1,3.3999999999999995,1
417,0.9393,1,3.3999999999999995,1
418,0.6842,1,3.3999999999999995,1
419,0.796,1,3.3999999999999995,1
420,0.8614,0,3.5999999999999996,1
421,0.6729,0,3.5999999999999996,1
422,0.4784,0,3.5999999999999996,1
